	Masses	1 SP07 Intensity	1 SP08 Intensity	1 SP07 S/N Ratio	1 SP08 S/N Ratio	1 SP07 AUC	1 SP08 AUC
0	807.24	0.0	20737.0	0.0	2.26	0.0	32577.0
3	908.88	0.0	5149.0	0.0	5147.59	0.0	11065.5
6	952.01	0.0	13790.0	0.0	2.0	0.0	27159.83
9	993.22	0.0	12547.0	0.0	2.25	0.0	25134.15
12	1074.56	0.0	25781.0	0.0	2.06	0.0	52267.14
15	1088.76	0.0	65676.0	0.0	2.62	0.0	126465.99
18	1101.73	0.0	15381.0	0.0	15379.32	0.0	40234.89
21	1132.82	0.0	10662.0	0.0	10660.84	0.0	36794.75
24	1136.85	0.0	6391.0	0.0	6389.78	0.0	23273.9
27	1143.13	0.0	192633.0	0.0	2.39	0.0	420306.02
30	1157.1	0.0	10569.0	0.0	2.48	0.0	24355.6
33	1158.91	0.0	9664.0	0.0	9662.8	0.0	31181.11
36	1179.12	0.0	29855.0	0.0	29853.3	0.0	69029.48
39	1222.41	0.0	74895.0	0.0	2.14	0.0	173790.06
42	1247.63	0.0	57086.0	0.0	57084.55	0.0	151393.79
45	1271.69	0.0	7938.0	0.0	7936.17	0.0	20660.84
48	1278.57	0.0	5664.0	0.0	2.14	0.0	14748.96
51	1363.11	0.0	51769.0	0.0	2.04	0.0	135140.32
54	1369.01	0.0	15268.0	0.0	15266.84	0.0	43928.75
57	1460.53	0.0	17736.0	0.0	17734.86	0.0	69842.4
60	1465.62	0.0	9261.0	0.0	9259.78	0.0	21193.68
63	1481.7	0.0	8790.0	0.0	8788.72	0.0	30432.47
66	1639.15	18999.0	14739.0	18997.85	14738.02	74516.78	52948.81
69	1646.31	0.0	5642.0	0.0	5640.75	0.0	20329.98
72	1714.5	0.0	6070.0	0.0	6068.75	0.0	21842.91
75	1815.14	0.0	6841.0	0.0	6839.92	0.0	25911.41
78	1890.2	0.0	7037.0	0.0	2.37	0.0	24633.1
81	1913.13	0.0	26353.0	0.0	26351.98	0.0	101114.22
84	1928.01	0.0	6661.0	0.0	6660.01	0.0	30575.86
87	1989.0	0.0	15808.0	0.0	15806.96	0.0	68318.09
90	1997.97	52440.0	39291.0	52438.93	39289.93	246015.98	155195.93
93	2089.13	0.0	14057.0	0.0	2.27	0.0	58614.59
96	2298.88	59908.0	43655.0	59906.98	43653.96	312586.18	198953.98
99	2525.35	60400.0	51268.0	60398.97	51266.98	321737.71	247541.99
102	2754.71	0.0	26754.0	0.0	26752.98	0.0	147320.25
105	2838.31	0.0	5029.0	0.0	5027.94	0.0	27715.1
108	951.0	8900.0	0.0	2.04	0.0	20379.31	0.0
111	952.84	8879.0	0.0	8877.87	0.0	26205.73	0.0
114	992.2	11839.0	0.0	2.31	0.0	9804.37	0.0
117	994.09	11871.0	0.0	11869.89	0.0	36024.3	0.0
120	997.23	5144.0	0.0	5142.72	0.0	11429.15	0.0
123	1073.55	14122.0	0.0	14120.35	0.0	36900.33	0.0
126	1075.29	12829.0	0.0	12827.87	0.0	38361.44	0.0
129	1087.75	31885.0	0.0	2.63	0.0	78830.35	0.0
132	1089.5	38609.0	0.0	38607.77	0.0	108843.69	0.0
135	1131.8	14275.0	0.0	14273.9	0.0	50445.99	0.0
138	1142.11	136413.0	0.0	2.01	0.0	392678.38	0.0
141	1143.91	169690.0	0.0	169688.81	0.0	512982.68	0.0
144	1157.89	13024.0	0.0	13022.73	0.0	38743.19	0.0
147	1178.11	32751.0	0.0	32749.4	0.0	87361.25	0.0
150	1179.94	35726.0	0.0	35724.82	0.0	109468.18	0.0
153	1195.97	5494.0	0.0	5493.01	0.0	19417.46	0.0
156	1221.4	72461.0	0.0	2.03	0.0	208637.22	0.0
159	1223.26	87289.0	0.0	87287.83	0.0	278660.16	0.0
162	1246.62	30585.0	0.0	30583.65	0.0	94359.37	0.0
165	1248.26	30848.0	0.0	30846.94	0.0	109570.99	0.0
168	1272.58	4920.0	0.0	2.15	0.0	15708.7	0.0
171	1353.78	17524.0	0.0	17522.86	0.0	61199.61	0.0
174	1368.01	18111.0	0.0	18109.85	0.0	52310.48	0.0
177	1369.98	16833.0	0.0	16831.95	0.0	66736.41	0.0
180	1383.06	8525.0	0.0	8523.78	0.0	30556.87	0.0
183	1439.27	250754.0	0.0	250752.85	0.0	891952.85	0.0
186	1459.28	20415.0	0.0	20413.95	0.0	90903.72	0.0
189	1501.52	80000.0	0.0	79998.89	0.0	298316.79	0.0
195	1683.65	13474.0	0.0	13472.92	0.0	58949.41	0.0
198	1732.91	24510.0	0.0	24508.9	0.0	103566.98	0.0
201	1815.94	4974.0	0.0	4972.95	0.0	21449.3	0.0
204	1913.72	14620.0	0.0	14618.93	0.0	65524.95	0.0
207	1926.57	7017.0	0.0	7015.94	0.0	33520.48	0.0
210	1988.15	24479.0	0.0	24477.91	0.0	109360.76	0.0
216	2019.16	5116.0	0.0	5114.89	0.0	26249.47	0.0
222	2413.72	10247.0	0.0	10245.97	0.0	54180.08	0.0
228	2710.57	15763.0	0.0	15761.96	0.0	87374.39	0.0
231	2836.67	8328.0	0.0	8326.98	0.0	45819.58	0.0
