	Masses	1 SP07	1 SP08
0	807.24	0.0	20737.0
1	908.88	0.0	5149.0
2	952.01	0.0	13790.0
3	993.22	0.0	12547.0
4	1074.56	0.0	25781.0
5	1088.76	0.0	65676.0
6	1101.73	0.0	15381.0
7	1132.82	0.0	10662.0
8	1136.85	0.0	6391.0
9	1143.13	0.0	192633.0
10	1157.1	0.0	10569.0
11	1158.91	0.0	9664.0
12	1179.12	0.0	29855.0
13	1222.41	0.0	74895.0
14	1247.63	0.0	57086.0
15	1271.69	0.0	7938.0
16	1278.57	0.0	5664.0
17	1363.11	0.0	51769.0
18	1369.01	0.0	15268.0
19	1460.53	0.0	17736.0
20	1465.62	0.0	9261.0
21	1481.7	0.0	8790.0
22	1639.15	18999.0	14739.0
23	1646.31	0.0	5642.0
24	1714.5	0.0	6070.0
25	1815.14	0.0	6841.0
26	1890.2	0.0	7037.0
27	1913.13	0.0	26353.0
28	1928.01	0.0	6661.0
29	1989.0	0.0	15808.0
30	1997.97	52440.0	39291.0
31	2089.13	0.0	14057.0
32	2298.88	59908.0	43655.0
33	2525.35	60400.0	51268.0
34	2754.71	0.0	26754.0
35	2838.31	0.0	5029.0
36	951.0	8900.0	0.0
37	952.84	8879.0	0.0
38	992.2	11839.0	0.0
39	994.09	11871.0	0.0
40	997.23	5144.0	0.0
41	1073.55	14122.0	0.0
42	1075.29	12829.0	0.0
43	1087.75	31885.0	0.0
44	1089.5	38609.0	0.0
45	1131.8	14275.0	0.0
46	1142.11	136413.0	0.0
47	1143.91	169690.0	0.0
48	1157.89	13024.0	0.0
49	1178.11	32751.0	0.0
50	1179.94	35726.0	0.0
51	1195.97	5494.0	0.0
52	1221.4	72461.0	0.0
53	1223.26	87289.0	0.0
54	1246.62	30585.0	0.0
55	1248.26	30848.0	0.0
56	1272.58	4920.0	0.0
57	1353.78	17524.0	0.0
58	1368.01	18111.0	0.0
59	1369.98	16833.0	0.0
60	1383.06	8525.0	0.0
61	1439.27	250754.0	0.0
62	1459.28	20415.0	0.0
63	1501.52	80000.0	0.0
65	1683.65	13474.0	0.0
66	1732.91	24510.0	0.0
67	1815.94	4974.0	0.0
68	1913.72	14620.0	0.0
69	1926.57	7017.0	0.0
70	1988.15	24479.0	0.0
72	2019.16	5116.0	0.0
74	2413.72	10247.0	0.0
76	2710.57	15763.0	0.0
77	2836.67	8328.0	0.0
