Mass/Charge Ratio,Intensity,Signal/Noise Ratio,Integral,Intensity Ratio,Peak Confidence
807.24,20737,2.26,32577.0,2.98,Questionable
908.88,5149,5147.59,11065.5,2.82,Questionable
952.01,13790,2.0,27159.83,12.74,Clear Peak
993.22,12547,2.25,25134.15,12.8,Clear Peak
1074.56,25781,2.06,52267.14,10.68,Clear Peak
1088.76,65676,2.62,126465.99,41.62,Clear Peak
1101.73,15381,15379.32,40234.89,3.16,Clear Peak
1132.82,10662,10660.84,36794.75,2.09,Highly Questionable
1136.85,6391,6389.78,23273.9,2.53,Questionable
1143.13,192633,2.39,420306.02,113.32,Clear Peak
1157.1,10569,2.48,24355.6,2.99,Questionable
1158.91,9664,9662.8,31181.11,5.28,Clear Peak
1179.12,29855,29853.3,69029.48,2.02,Highly Questionable
1222.41,74895,2.14,173790.06,42.26,Clear Peak
1247.63,57086,57084.55,151393.79,100.82,Clear Peak
1271.69,7938,7936.17,20660.84,10.25,Clear Peak
1278.57,5664,2.14,14748.96,2.15,Highly Questionable
1363.11,51769,2.04,135140.32,177.29,Clear Peak
1369.01,15268,15266.84,43928.75,2.51,Questionable
1460.53,17736,17734.86,69842.4,2.16,Highly Questionable
1465.62,9261,9259.78,21193.68,8.4,Clear Peak
1481.7,8790,8788.72,30432.47,7.06,Clear Peak
1639.03,14739,14738.02,52948.81,48.29,Clear Peak
1646.31,5642,5640.75,20329.98,3.38,Clear Peak
1714.5,6070,6068.75,21842.91,3.3,Clear Peak
1815.14,6841,6839.92,25911.41,3.0,Clear Peak
1890.2,7037,2.37,24633.1,156.45,Clear Peak
1913.13,26353,26351.98,101114.22,65.57,Clear Peak
1928.01,6661,6660.01,30575.86,24.66,Clear Peak
1989.0,15808,15806.96,68318.09,7.25,Clear Peak
1997.63,39291,39289.93,155195.93,33.12,Clear Peak
2089.13,14057,2.27,58614.59,18.79,Clear Peak
2298.76,43655,43653.96,198953.98,9.04,Clear Peak
2525.21,51268,51266.98,247541.99,17.49,Clear Peak
2754.71,26754,26752.98,147320.25,12.88,Clear Peak
2838.31,5029,5027.94,27715.1,6.25,Clear Peak
