Mass/Charge Ratio,Intensity,Signal/Noise Ratio,Intensity Ratio,Peak Confidence
845.97,1393,2.06,2.01,Highly Questionable
871.06,1102,3.73,2.65,Questionable
927.39,2383,2381.24,2.14,Highly Questionable
930.42,1635,1633.65,2.65,Questionable
934.48,792,2.13,2.61,Questionable
952.63,5566,5564.4,5.36,Clear Peak
954.47,3572,3570.71,4.83,Clear Peak
957.35,1755,1753.67,2.41,Highly Questionable
993.85,6710,2.03,6.21,Clear Peak
995.73,4911,4909.87,14.97,Clear Peak
998.67,3483,3481.11,4.28,Clear Peak
1000.56,2558,2556.93,4.32,Clear Peak
1057.86,1675,3.09,3.96,Clear Peak
1060.89,858,2.2,2.08,Highly Questionable
1073.04,6922,6920.65,5.78,Clear Peak
1089.2,75664,2.78,54.55,Clear Peak
1102.39,10835,10833.37,2.1,Highly Questionable
1133.49,10555,10553.68,5.56,Clear Peak
1143.58,280997,2.23,132.21,Clear Peak
1159.58,7735,7733.64,5.2,Clear Peak
1205.74,3330,3328.25,4.41,Clear Peak
1207.82,2862,2860.65,5.22,Clear Peak
1228.92,3944,3942.24,3.65,Clear Peak
1248.1,53947,53945.21,81.85,Clear Peak
1263.17,4059,4057.65,5.97,Clear Peak
1268.14,2289,2287.39,2.64,Questionable
1272.16,10482,2.16,58.78,Clear Peak
1292.15,2043,2041.45,4.42,Clear Peak
1383.56,5823,2.82,10.6,Clear Peak
1482.21,3236,2.54,2.91,Questionable
1486.31,2446,2444.74,8.79,Clear Peak
1502.25,156360,2.07,37.34,Clear Peak
1517.5,2222,2220.81,3.68,Clear Peak
1524.24,4382,4380.97,163.9,Clear Peak
1529.44,3787,3786.02,2.59,Questionable
1545.35,1918,5.71,6.37,Clear Peak
1561.6,2009,2.47,2.46,Highly Questionable
1563.44,2215,2213.96,3.02,Clear Peak
1590.65,24323,2.37,45.46,Clear Peak
1629.89,12104,12102.93,2.1,Highly Questionable
1647.12,5880,2.07,16.37,Clear Peak
1716.15,9134,9133.0,32.54,Clear Peak
1760.54,15597,15595.97,46.21,Clear Peak
1776.5,2217,2215.86,8.95,Clear Peak
1799.85,4353,2.87,8.63,Clear Peak
1807.49,1346,1344.74,2.68,Questionable
1815.99,5060,2.18,2.51,Questionable
1821.95,1230,1228.64,6.69,Clear Peak
1914.01,12360,12358.94,27.93,Clear Peak
1929.18,4402,4400.95,42.09,Clear Peak
1945.59,8803,2.41,7.5,Clear Peak
1953.24,4011,2.14,6.42,Clear Peak
1970.34,5219,2.09,10.95,Clear Peak
1988.71,40726,2.28,16.82,Clear Peak
1998.52,84952,84950.91,97.29,Clear Peak
2016.12,3315,3313.94,5.06,Clear Peak
2025.4,3317,3315.93,11.47,Clear Peak
2081.83,948,2.31,4.56,Clear Peak
2097.36,2067,2.71,13.76,Clear Peak
2456.35,3094,2.12,2.89,Questionable
2483.51,25563,2.48,41.68,Clear Peak
2526.22,41137,41135.97,43.66,Clear Peak
2626.38,18053,18052.0,29.2,Clear Peak
2717.73,9546,2.05,9.76,Clear Peak
2755.76,50825,50823.98,36.27,Clear Peak
2774.0,16330,16328.95,11.49,Clear Peak
2790.18,3291,2.07,4.55,Clear Peak
2807.83,5762,5760.95,23.85,Clear Peak
2816.67,10471,10469.95,14.08,Clear Peak
2838.66,23485,23483.97,27.43,Clear Peak
