Mass/Charge Ratio,Intensity,Intensity Ratio,Peak Confidence
881.99,1681,5.501368978835604,Clear Peak
906.94,7833,2.9766771598527515,Clear Peak
1321.58,43096,3.032108009853754,Clear Peak
1640.07,5768,3.9167458280876026,Clear Peak
1709.7,60820,2.008594964329982,Highly Questionable
1792.6,5577,10.02910345138439,Clear Peak
1996.31,4749,6.4789603711175054,Clear Peak
2401.6,15306,Null,Clear Peak
2421.22,16088,6.905167796621203,Clear Peak
2707.78,10213,2.199774135873966,Clear Peak
2876.03,10610,8.286784136576511,Clear Peak
2892.49,7565,2.332466773981301,Clear Peak
3017.82,1097,3.862975329933018,Clear Peak
3055.27,2699,2.9474958141521923,Clear Peak
3173.54,1859,2.3696291919101165,Clear Peak
3463.0,1353,Null,Clear Peak
4835.45,2556,3.532408954859997,Clear Peak
