Mass/Charge Ratio,Intensity,Signal/Noise Ratio,Intensity Ratio,Peak Confidence
1085.8,4568,2.15,2.96,Questionable
1139.69,12271,2.08,5.83,Clear Peak
1218.85,2626,3.31,5.03,Clear Peak
1243.96,5890,4.61,10.09,Clear Peak
1267.92,975,2.32,2.39,Highly Questionable
1358.72,3414,17.58,6.72,Clear Peak
1481.67,494,4.41,2.69,Questionable
1496.01,15091,10.57,9.85,Clear Peak
1763.82,1534,4.29,3.79,Clear Peak
1776.67,1750,2.02,4.45,Clear Peak
1906.69,1703,3.09,3.5,Clear Peak
2243.93,1500,2.38,2.08,Highly Questionable
2735.83,1482,1480.64,43.23,Clear Peak
3078.68,932,2.57,5.36,Clear Peak
