Mass/Charge Ratio,Intensity,Signal/Noise Ratio,Intensity Ratio,Peak Confidence
936.94,1150,2.17,2.48,Highly Questionable
967.64,1373,2.1,2.23,Highly Questionable
1166.29,3087,3086.1,2.28,Highly Questionable
1477.45,10109,2.45,2.53,Questionable
1640.48,3194,2.1,3.11,Clear Peak
1807.62,955,12.59,2.34,Highly Questionable
1975.28,1307,2.37,17.78,Clear Peak
2218.88,3425,3423.53,21.79,Clear Peak
2727.4,6373,6371.79,2.78,Questionable
2876.15,5821,2.3,3.75,Clear Peak
3428.3,425,2.11,2.24,Highly Questionable
3545.46,1385,3.12,2.57,Questionable
3593.99,3613,2.3,2.07,Highly Questionable
3820.11,3251,3249.83,2.38,Highly Questionable
3862.17,8780,8778.83,2.06,Highly Questionable
