Mass/Charge Ratio,Intensity,Signal/Noise Ratio,Intensity Ratio,Peak Confidence
916.75,2178,2.12,2.15,Highly Questionable
934.91,1143,2.4,2.2,Highly Questionable
941.01,844,4.93,2.2,Highly Questionable
1013.98,1134,2.63,2.44,Highly Questionable
1016.94,1130,3.13,5.22,Clear Peak
1164.03,2705,2703.67,2.5,Questionable
1169.01,3284,3282.77,2.6,Questionable
1238.04,4087,2.31,2.3,Highly Questionable
1805.92,1203,2.13,2.16,Highly Questionable
2066.76,655,2.68,3.51,Clear Peak
2227.66,56481,56479.87,4.32,Clear Peak
2338.32,73427,2.12,10.01,Clear Peak
2474.15,1461,1459.47,2.97,Questionable
2716.98,1776,12.89,14.82,Clear Peak
2868.3,1721,2.53,9.06,Clear Peak
